Applicant_ID,Applicant_Name,Annual_Income,Credit_Score,City,State,Employment_Status,Monthly_Rent
TG-100059,Applicant 59,114266.0,670,Queens,NJ, full time ,4331
TG-100060,Applicant 60,70625.0,715,Queens,NY,Part Time,3411
TG-100061,Applicant 61,79430.0,540,Queens,NJ,Part Time,3841
TG-100062,Applicant 62,51810.0,776, Newark,,Full Time,4428
TG-100063,Applicant 63,49114.0,536,Queens,ny,Full Time,2126
TG-100064,Applicant 64,109376.0,570,Brooklyn,NY,Unemployed,4121
TG-100065,Applicant 65,125687.0,789,Jersey City,NJ,Unemployed,4156
TG-100066,Applicant 66,82840.0,602,Queens,NJ,Unemployed,5027
TG-100067,Applicant 67,115106.0,643,New York,ny,Unemployed,4645
TG-100068,Applicant 68,95849.0,809, Newark,NY,Part Time,5238
TG-100069,Applicant 69,65646.0,781,Jersey City,ny,Part Time,1320
TG-100070,Applicant 70,95842.0,568,Brooklyn,NY,Part Time,2165
TG-100071,Applicant 71,131141.0,525,Queens,NJ,Self-Employed,3249
TG-100072,Applicant 72,83925.0,636,Brooklyn,ny,Unemployed,5413
TG-100073,Applicant 73,131939.0,637, Newark,ny,Self-Employed,4919
TG-100074,Applicant 74,6408.0,782,Queens,, full time ,5113
TG-100075,Applicant 75,109657.0,648,New York,ny, full time ,5024
TG-100076,Applicant 76,87611.0,690,Jersey City,NY,Part Time,4379
TG-100077,Applicant 77,76030.0,546,New York,, full time ,4570
TG-100078,Applicant 78,87753.0,718,Queens,ny,Part Time,4704
TG-100079,Applicant 79,25373.0,616,Hoboken,ny,Unemployed,5241
TG-100080,Applicant 80,78410.0,999,Jersey City,,Self-Employed,3123
TG-100081,Applicant 81,95713.0,692,Brooklyn,NJ,Part Time,5016
TG-100082,Applicant 82,129337.0,620,Queens,ny,Full Time,4291
TG-100083,Applicant 83,69452.0,705,New York,N.J.,Full Time,2976
TG-100084,Applicant 84,60745.0,703, Newark,NJ,Unemployed,1971
TG-100085,Applicant 85,69947.0,734,Hoboken,ny,Self-Employed,4777
TG-100086,Applicant 86,112462.0,770, Newark,NJ,Part Time,2738
TG-100087,Applicant 87,94863.0,735,Queens,NY,Unemployed,4067
TG-100088,Applicant 88,69107.0,548,Brooklyn,NJ,Self-Employed,4749
TG-100089,Applicant 89,100398.0,621,New York,,Full Time,2003
TG-100090,Applicant 90,87912.0,642,Jersey City,ny,Part Time,4469
TG-100091,Applicant 91,114059.0,573,Hoboken,NJ,Self-Employed,1378
TG-100092,Applicant 92,63938.0,802,Queens,N.J., full time ,1814
TG-100093,Applicant 93,75170.0,621,Queens,NY,Part Time,2954
TG-100094,Applicant 94,73237.0,636,Queens,NY, full time ,1246
TG-100095,Applicant 95,41095.0,623,Queens,NJ,Unemployed,4883
TG-100096,Applicant 96,93884.0,564,New York,,Self-Employed,3734
TG-100097,Applicant 97,92832.0,633,Jersey City,NY,Self-Employed,1415
TG-100098,Applicant 98,85153.0,550,Brooklyn,NJ,Self-Employed,4139
TG-100099,Applicant 99,77962.0,683,Hoboken,NJ,Self-Employed,4099
TG-100100,Applicant 100,42539.0,708,Queens,NY,Part Time,4076
TG-100101,Applicant 101,72381.0,812, Newark,NJ, full time ,2436
TG-100102,Applicant 102,74719.0,714,Queens,NJ, full time ,2207
TG-100103,Applicant 103,60932.0,811,Jersey City,N.J.,Unemployed,3338
TG-100104,Applicant 104,80161.0,780,Jersey City,NJ,Unemployed,3359
TG-100105,Applicant 105,97122.0,726,New York,NJ,Self-Employed,4384
TG-100106,Applicant 106,141586.0,571,New York,,Full Time,1573
TG-100107,Applicant 107,90237.0,568, Newark,NY,Full Time,2486
TG-100108,Applicant 108,92727.0,525, Newark,,Self-Employed,1567
TG-100109,Applicant 109,82767.0,743,New York,ny, full time ,5125
TG-100110,Applicant 110,27437.0,542,Hoboken,,Unemployed,4316
TG-100111,Applicant 111,84205.0,664, Newark,ny,Part Time,2494
TG-100112,Applicant 112,86807.0,629,New York,ny,Full Time,5176
TG-100113,Applicant 113,158897.0,731,Queens,,Unemployed,1373
TG-100114,Applicant 114,79229.0,819,New York,N.J.,Full Time,5331
TG-100115,Applicant 115,94046.0,560,Hoboken,, full time ,3280
TG-100116,Applicant 116,83959.0,691,New York,NY, full time ,5034
TG-100117,Applicant 117,49940.0,705,New York,,Self-Employed,3629
TG-100118,Applicant 118,119285.0,733,Queens,N.J.,Self-Employed,3973
TG-100119,Applicant 119,107558.0,571, Newark,,Full Time,1892
TG-100120,Applicant 120,108731.0,589,Queens,N.J.,Full Time,4229
TG-100121,Applicant 121,57718.0,715,Queens,NY,Unemployed,2073
TG-100122,Applicant 122,127084.0,670,New York,NJ,Self-Employed,4296
TG-100123,Applicant 123,42944.0,628,Queens,N.J., full time ,1957
TG-100124,Applicant 124,102606.0,637,Jersey City,N.J.,Unemployed,4824
TG-100125,Applicant 125,150714.0,614,Brooklyn,N.J.,Unemployed,3306
TG-100126,Applicant 126,55284.0,775,Brooklyn,NY,Part Time,5472
TG-100127,Applicant 127,68011.0,563,Queens,ny, full time ,2765
TG-100128,Applicant 128,87990.0,586, Newark,N.J.,Unemployed,4316
TG-100129,Applicant 129,69896.0,675,Hoboken,NY,Part Time,4723
TG-100130,Applicant 130,38480.0,725,Queens,NJ,Self-Employed,1508
TG-100131,Applicant 131,87057.0,793, Newark,N.J., full time ,1353
TG-100132,Applicant 132,53131.0,674,Queens,ny,Self-Employed,2166
TG-100133,Applicant 133,99208.0,698,New York,NY,Part Time,2363
TG-100134,Applicant 134,57417.0,579, Newark,NJ, full time ,4016
,Applicant 135,131498.0,593,Hoboken,ny,Full Time,1584
TG-100136,Applicant 136,61502.0,568,Queens,NJ,Full Time,4919
TG-100137,Applicant 137,75338.0,790,Jersey City,ny,Full Time,3995
TG-100138,Applicant 138,109406.0,592, Newark,,Unemployed,2256
TG-100139,Applicant 139,48074.0,715,Brooklyn,,Full Time,2931
TG-100140,Applicant 140,91824.0,698, Newark,,Unemployed,4642
TG-100141,Applicant 141,124214.0,567,Jersey City,NJ,Unemployed,2869
TG-100142,Applicant 142,36776.0,591,Jersey City,,Part Time,5276
TG-100143,Applicant 143,90539.0,632,Jersey City,NY,Full Time,5227
TG-100144,Applicant 144,92796.0,764,Hoboken,NY, full time ,4974
TG-100145,Applicant 145,108455.0,678,Hoboken,,Unemployed,2659
TG-100146,Applicant 146,47891.0,793, Newark,ny,Part Time,1205
TG-100147,Applicant 147,45386.0,787,Hoboken,ny,Unemployed,2841
TG-100148,Applicant 148,100658.0,549,Brooklyn,NJ, full time ,5029
TG-100149,Applicant 149,93910.0,616,New York,ny, full time ,1816
TG-100150,Applicant 150,92515.0,770, Newark,N.J.,Full Time,2085
TG-100151,Applicant 151,95393.0,526,Queens,ny,Unemployed,3270
TG-100152,Applicant 152,64599.0,611,Queens,NY, full time ,1360
TG-100153,Applicant 153,91968.0,632, Newark,ny,Self-Employed,2417
TG-100154,Applicant 154,93792.0,778,New York,NJ, full time ,5378
TG-100155,Applicant 155,63569.0,626,Queens,ny, full time ,1367
TG-100156,Applicant 156,140973.0,582, Newark,NJ,Unemployed,5112
TG-100157,Applicant 157,99215.0,790, Newark,N.J., full time ,3902
TG-100158,Applicant 158,49261.0,718,Jersey City,,Part Time,3802
TG-100159,Applicant 159,104697.0,665,Brooklyn,N.J., full time ,5307
TG-100160,Applicant 160,55760.0,580,Queens,NY,Self-Employed,4805
TG-100161,Applicant 161,108613.0,639,Brooklyn,N.J., full time ,2753
TG-100162,Applicant 162,119758.0,580, Newark,N.J.,Full Time,1649
TG-100163,Applicant 163,60380.0,545,New York,NY,Unemployed,5227
TG-100164,Applicant 164,113901.0,634, Newark,NY,Self-Employed,3737
TG-100165,Applicant 165,97383.0,559,Queens,,Part Time,3909
TG-100166,Applicant 166,109662.0,635,Brooklyn,, full time ,4157
TG-100167,Applicant 167,141904.0,655,Jersey City,ny, full time ,3864
TG-100168,Applicant 168,77638.0,796,Jersey City,NJ,Part Time,2989
TG-100169,Applicant 169,62388.0,818, Newark,NY, full time ,5302
TG-100170,Applicant 170,58315.0,540,New York,N.J.,Full Time,4434
TG-100171,Applicant 171,60526.0,550,Hoboken,N.J.,Self-Employed,1518
TG-100172,Applicant 172,82687.0,766,Queens,, full time ,3377
TG-100173,Applicant 173,95235.0,546, Newark,NJ,Part Time,3356
TG-100174,Applicant 174,93301.0,592,Jersey City,NY,Part Time,3753
TG-100175,Applicant 175,109815.0,616,Jersey City,,Self-Employed,1628
TG-100176,Applicant 176,85390.0,680,New York,NJ,Full Time,3685
TG-100177,Applicant 177,128606.0,819,Jersey City,NY,Self-Employed,2100
TG-100178,Applicant 178,77060.0,818,Queens,N.J., full time ,2820
TG-100179,Applicant 179,166605.0,806,New York,N.J.,Full Time,4598
TG-100180,Applicant 180,103770.0,731,Brooklyn,,Full Time,1948
TG-100181,Applicant 181,59285.0,595,New York,NJ,Part Time,5489
TG-100182,Applicant 182,52873.0,662,Queens,N.J.,Full Time,3611
TG-100183,Applicant 183,99474.0,553,Queens,NJ, full time ,2227
TG-100184,Applicant 184,78296.0,523,Brooklyn,, full time ,5444
TG-100185,Applicant 185,106420.0,617, Newark,ny, full time ,4332
TG-100186,Applicant 186,99197.0,736,New York,NJ,Unemployed,4041
TG-100187,Applicant 187,82815.0,547,Queens,NJ,Full Time,2340
TG-100188,Applicant 188,59596.0,720,Queens,,Full Time,1437
TG-100189,Applicant 189,39555.0,792,Brooklyn,ny, full time ,3732
TG-100190,Applicant 190,71605.0,646,Hoboken,N.J.,Part Time,2954
TG-100191,Applicant 191,110692.0,721,New York,NY,Full Time,2810
TG-100192,Applicant 192,,528,Queens,,Unemployed,4318
TG-100193,Applicant 193,47628.0,806,Jersey City,NY,Full Time,2687
TG-100194,Applicant 194,90195.0,607,Brooklyn,ny,Self-Employed,4394
TG-100195,Applicant 195,96560.0,538,Hoboken,ny,Unemployed,1445
TG-100196,Applicant 196,58484.0,600,Hoboken,NJ,Part Time,2477
TG-100197,Applicant 197,89612.0,626,Brooklyn,NY,Unemployed,3528
TG-100198,Applicant 198,86746.0,749,Hoboken,NY,Unemployed,2756
TG-100199,Applicant 199,50711.0,631,Queens,ny,Full Time,2757
TG-100200,Applicant 200,95734.0,739,Hoboken,NY,Unemployed,3422
TG-100201,Applicant 201,101824.0,642,New York,N.J., full time ,3532
TG-100202,Applicant 202,117492.0,763,Jersey City,ny,Unemployed,1504
TG-100203,Applicant 203,116614.0,697,Queens,NJ,Full Time,4122
TG-100204,Applicant 204,43670.0,584,Brooklyn,NJ, full time ,1992
TG-100205,Applicant 205,56865.0,522,Jersey City,NJ,Part Time,1606
TG-100206,Applicant 206,,999, Newark,NY,Self-Employed,3552
TG-100207,Applicant 207,100414.0,540,Queens,ny,Unemployed,3237
TG-100208,Applicant 208,100451.0,812,Jersey City,NJ, full time ,4166
TG-100209,Applicant 209,200582.0,534,Hoboken,ny, full time ,3916
TG-100210,Applicant 210,102127.0,725, Newark,NY,Part Time,4020
TG-100211,Applicant 211,119067.0,721,Brooklyn,N.J.,Part Time,4242
TG-100212,Applicant 212,113620.0,639,Brooklyn,N.J.,Self-Employed,5202
TG-100213,Applicant 213,104542.0,656,New York,N.J.,Self-Employed,2560
TG-100214,Applicant 214,75542.0,819,Hoboken,NY,Full Time,2253
TG-100215,Applicant 215,107769.0,814,New York,NJ,Self-Employed,1639
TG-100216,Applicant 216,61815.0,544,New York,NY,Self-Employed,1982
TG-100217,Applicant 217,77895.0,753,Hoboken,ny, full time ,3810
TG-100218,Applicant 218,70439.0,640,Queens,N.J.,Unemployed,3014
TG-100219,Applicant 219,87456.0,609, Newark,ny,Unemployed,1433
TG-100220,Applicant 220,154440.0,719,New York,NY,Self-Employed,3273
TG-100221,Applicant 221,28982.0,699,Jersey City,,Full Time,3631
TG-100222,Applicant 222,105588.0,595, Newark,,Full Time,1661
TG-100223,Applicant 223,36619.0,656,Queens,NY,Unemployed,2951
TG-100224,Applicant 224,70842.0,657,Hoboken,NJ,Part Time,2038
TG-100225,Applicant 225,117669.0,529,Brooklyn,ny, full time ,4409
TG-100226,Applicant 226,86928.0,720,Queens,NY,Self-Employed,3984
TG-100227,Applicant 227,52668.0,738,New York,NY, full time ,5405
TG-100228,Applicant 228,63541.0,579,Jersey City,,Self-Employed,2551
TG-100229,Applicant 229,105388.0,666, Newark,N.J.,Self-Employed,1405
TG-100230,Applicant 230,63089.0,626,Hoboken,N.J.,Unemployed,2294
TG-100231,Applicant 231,91494.0,557,Brooklyn,NJ, full time ,1384
TG-100232,Applicant 232,86367.0,653, Newark,NJ, full time ,3992
TG-100233,Applicant 233,65452.0,740,Jersey City,NJ,Part Time,3929
TG-100234,Applicant 234,149318.0,652,Brooklyn,,Part Time,1513
TG-100235,Applicant 235,104018.0,572,Hoboken,NY, full time ,1427
TG-100236,Applicant 236,24246.0,581, Newark,NJ,Part Time,4293
TG-100237,Applicant 237,90594.0,542,Queens,,Part Time,5157
TG-100238,Applicant 238 ,65146.0,563,New York,ny,Self-Employed,5295
TG-100239,Applicant 239,110573.0,565,Hoboken,NY,Unemployed,3939
TG-100240,Applicant 240,,999,Jersey City,ny,Self-Employed,2126
TG-100241,Applicant 241,81558.0,735,Queens,N.J.,Part Time,4536
TG-100242,Applicant 242,100150.0,566, Newark,N.J.,Self-Employed,4321
TG-100243,Applicant 243,110973.0,543,Brooklyn,NY,Self-Employed,3308
TG-100244,Applicant 244,48991.0,664,Queens,NJ,Full Time,3555
TG-100245,Applicant 245,74965.0,608,Queens,NY,Self-Employed,1736
TG-100246,Applicant 246,70752.0,693,Jersey City,NJ,Self-Employed,5370
TG-100247,Applicant 247,65400.0,583,New York,N.J.,Unemployed,2641
TG-100248,Applicant 248,137964.0,638,Queens,NY, full time ,4599
TG-100249,Applicant 249,97149.0,742,Queens,NY,Full Time,4552
TG-100250,Applicant 250,47173.0,675,New York,NJ,Full Time,4346
TG-100251,Applicant 251,,697,New York,N.J.,Full Time,1808
TG-100252,Applicant 252,148665.0,575,Brooklyn,N.J.,Full Time,1811
TG-100253,Applicant 253,115974.0,578, Newark,NJ,Unemployed,2220
TG-100254,Applicant 254,39419.0,739,Brooklyn,NJ, full time ,1440
TG-100255,Applicant 255,70473.0,704,New York,NJ,Unemployed,3252
TG-100256,Applicant 256,123007.0,566,Hoboken,N.J.,Full Time,2802
TG-100257,Applicant 257,63770.0,621,New York,N.J., full time ,3604
TG-100258,Applicant 258,98315.0,563,Brooklyn,NY,Unemployed,2614
TG-100259,Applicant 259,108239.0,534,Jersey City,N.J., full time ,1568
TG-100260,Applicant 260,57192.0,755,Jersey City,ny,Unemployed,3276
TG-100261,Applicant 261,83214.0,570, Newark,ny, full time ,2646
TG-100262,Applicant 262,-12238.0,553,Queens,NJ,Unemployed,1208
TG-100263,Applicant 263,54268.0,643,Jersey City,NJ,Full Time,4716
TG-100264,Applicant 264,77423.0,596,Brooklyn,NJ,Full Time,3477
TG-100265,Applicant 265,47567.0,642,Jersey City,NY,Full Time,1592
TG-100266,Applicant 266,133972.0,724,Hoboken,ny,Unemployed,3051
TG-100267,Applicant 267,42096.0,747,New York,ny, full time ,1978
TG-100268,Applicant 268,71799.0,589,New York,N.J., full time ,4631
TG-100269,Applicant 269,88922.0,749,Brooklyn,ny,Part Time,2898
TG-100270,Applicant 270,128238.0,999,Queens,N.J.,Self-Employed,4454
TG-100271,Applicant 271,41924.0,627,New York,NY,Full Time,4471
TG-100272,Applicant 272,119895.0,760,Jersey City,NJ,Full Time,4452
TG-100273,Applicant 273,85307.0,770,Hoboken,NJ,Full Time,4811
TG-100274,Applicant 274,55555.0,654,Queens,N.J.,Part Time,3812
TG-100275,Applicant 275,98863.0,609,Queens,,Part Time,3045
TG-100276,Applicant 276,90972.0,598,Queens,N.J.,Part Time,4708
TG-100277,Applicant 277,66993.0,696,New York,NY,Full Time,5092
TG-100278,Applicant 278,87094.0,817, Newark,ny, full time ,4311
TG-100279,Applicant 279,73441.0,621,Queens,N.J.,Full Time,3066
TG-100280,Applicant 280,88406.0,631,Brooklyn,NY,Part Time,2252
TG-100281,Applicant 281,,700,Jersey City,NJ,Part Time,2126
TG-100282,Applicant 282,132581.0,623, Newark,,Self-Employed,4972
TG-100283,Applicant 283,47866.0,535,Hoboken,,Unemployed,4242
TG-100284,Applicant 284,148991.0,615,Jersey City,N.J.,Self-Employed,5425
TG-100285,Applicant 285,26437.0,812,Brooklyn,ny,Self-Employed,3295
TG-100286,Applicant 286,80446.0,665,Brooklyn,N.J.,Full Time,5040
TG-100287,Applicant 287,102650.0,521, Newark,,Unemployed,2026
TG-100288,Applicant 288,93430.0,638,Jersey City,,Unemployed,4687
TG-100289,Applicant 289,66319.0,613,New York,NJ,Full Time,1969
TG-100290,Applicant 290,78756.0,710,Brooklyn,ny, full time ,5170
TG-100291,Applicant 291,70210.0,522,Queens,ny,Full Time,1656
TG-100292,Applicant 292,,630,Hoboken,, full time ,2272
TG-100293,Applicant 293,110488.0,696,Hoboken,, full time ,3975
TG-100294,Applicant 294,95710.0,776,Brooklyn,N.J.,Unemployed,3683
TG-100295,Applicant 295,64213.0,541,Queens,N.J.,Full Time,3498
TG-100296,Applicant 296,111988.0,739,Jersey City,NJ,Full Time,4171
TG-100297,Applicant 297,94219.0,692,Hoboken,,Unemployed,5129
TG-100298,Applicant 298,109386.0,743,Queens,N.J.,Self-Employed,2842
TG-100299,Applicant 299,103889.0,584,Queens,NJ,Full Time,2217
TG-100300,Applicant 300,60130.0,796,New York,ny,Part Time,5242
TG-100301,Applicant 301,68195.0,768,Brooklyn,,Part Time,2663
TG-100302,Applicant 302,107419.0,779,Queens,NY,Full Time,2711
TG-100303,Applicant 303,103311.0,650,Jersey City,, full time ,4673
TG-100304,Applicant 304,84373.0,632,Hoboken,N.J.,Unemployed,4838
TG-100305,Applicant 305,88520.0,805,New York,, full time ,2921
TG-100306,Applicant 306,123330.0,806,Jersey City,NY,Part Time,1886
TG-100307,Applicant 307,67253.0,730,Hoboken,,Part Time,4683
TG-100308,Applicant 308,101413.0,539,Brooklyn,N.J.,Unemployed,5450
TG-100309,Applicant 309,78934.0,734,Jersey City,ny,Part Time,4832
TG-100310,Applicant 310,78470.0,770,Hoboken,N.J.,Self-Employed,4477
TG-100311,Applicant 311,117963.0,790,New York,NJ,Part Time,5139
TG-100312,Applicant 312,109762.0,699,Hoboken,N.J., full time ,4144
TG-100313,Applicant 313,109405.0,713,Queens,NJ, full time ,4699
TG-100314,Applicant 314,124164.0,598,New York,,Self-Employed,4118
TG-100315,Applicant 315,85630.0,699,Jersey City,NJ, full time ,2644
TG-100316,Applicant 316,105459.0,682, Newark,, full time ,1287
TG-100317,Applicant 317,75692.0,721,Brooklyn,NJ, full time ,2729
TG-100318,Applicant 318,94725.0,533,New York,N.J.,Full Time,4439
TG-100319,Applicant 319,81096.0,765,New York,NY,Self-Employed,4385
TG-100320,Applicant 320,87910.0,533,New York,,Self-Employed,1212
TG-100321,Applicant 321,102855.0,618,Hoboken,NJ,Part Time,4128
TG-100322,Applicant 322,60453.0,552,Queens,NY,Self-Employed,1519
TG-100323,Applicant 323,,776, Newark,NJ,Unemployed,2883
TG-100324,Applicant 324,54819.0,553,Brooklyn,NJ,Self-Employed,3649
TG-100325,Applicant 325,48574.0,538,Brooklyn,NJ,Unemployed,5453
TG-100326,Applicant 326,119743.0,671,Queens,N.J., full time ,1583
TG-100327,Applicant 327,108750.0,779,Hoboken,NJ,Unemployed,2296
TG-100328,Applicant 328,103724.0,683,Hoboken,NY,Full Time,2169
TG-100329,Applicant 329,103850.0,596,Queens,NJ, full time ,3720
TG-100330,Applicant 330,84633.0,656,Queens,ny,Unemployed,4451
TG-100331,Applicant 331,58082.0,727,Jersey City,, full time ,4874
TG-100332,Applicant 332,87274.0,761,Hoboken,N.J.,Full Time,1393
TG-100333,Applicant 333,,586,New York,ny, full time ,4044
TG-100334,Applicant 334,114254.0,635,Brooklyn,ny, full time ,2452
,Applicant 335,80588.0,721,Hoboken,NY,Self-Employed,1994
TG-100336,Applicant 336,60235.0,769,Queens,NY,Part Time,3922
TG-100337,Applicant 337,75358.0,797,New York,N.J.,Unemployed,2826
TG-100338,Applicant 338,97388.0,631,Jersey City,N.J.,Part Time,4041
TG-100339,Applicant 339,68088.0,753, Newark,,Full Time,1290
TG-100340,Applicant 340,60333.0,695,Jersey City,NJ,Full Time,4877
TG-100341,Applicant 341,92311.0,662,New York,N.J., full time ,5372
TG-100342,Applicant 342,92349.0,551,New York,N.J.,Part Time,4719
TG-100343,Applicant 343,69792.0,700,Queens,NJ,Unemployed,2520
TG-100344,Applicant 344,70869.0,586, Newark,,Unemployed,4659
TG-100345,Applicant 345,91961.0,523,Queens,NY, full time ,3569
TG-100346,Applicant 346,41557.0,805,Brooklyn,,Unemployed,3668
TG-100347,Applicant 347,42776.0,788, Newark,NJ,Self-Employed,3793
TG-100348,Applicant 348,63447.0,755, Newark,NY,Part Time,2857
TG-100349,Applicant 349,78597.0,796,Brooklyn,NY,Full Time,4577
TG-100350,Applicant 350,94327.0,560,Jersey City,NY,Unemployed,5237
TG-100351,Applicant 351,,640,New York,,Unemployed,1545
TG-100352,Applicant 352,110730.0,794,Jersey City,NJ,Unemployed,5081
TG-100353,Applicant 353,80202.0,750,Queens,, full time ,2864
TG-100354,Applicant 354,84430.0,605,Hoboken,,Full Time,5073
TG-100355,Applicant 355,54924.0,999,Queens,ny,Part Time,3972
TG-100356,Applicant 356,84445.0,711,Hoboken,N.J.,Unemployed,1849
TG-100357,Applicant 357,76340.0,812,New York,,Self-Employed,3906
TG-100358,Applicant 358,94682.0,550,New York,ny, full time ,3112
TG-100359,Applicant 359,,665, Newark,NJ,Part Time,4885
TG-100360,Applicant 360,100580.0,626,New York,ny,Unemployed,3009
TG-100361,Applicant 361,130982.0,629,Brooklyn,,Part Time,4460
TG-100362,Applicant 362,81737.0,795,Brooklyn,NJ, full time ,3312
TG-100363,Applicant 363,97051.0,729,Hoboken,ny,Self-Employed,2682
TG-100364,Applicant 364,105704.0,658,Jersey City,,Unemployed,1875
TG-100365,Applicant 365,72963.0,605, Newark,NJ,Self-Employed,1675
,Applicant 366,91723.0,563,Jersey City,NJ, full time ,1525
TG-100367,Applicant 367,85378.0,601,Hoboken,N.J.,Self-Employed,4463
TG-100368,Applicant 368,87930.0,583,Brooklyn,, full time ,3335
TG-100369,Applicant 369,61810.0,574,Queens,N.J.,Self-Employed,5453
TG-100370,Applicant 370,85735.0,593, Newark,NJ,Part Time,2496
TG-100371,Applicant 371,99940.0,648,Hoboken,NJ,Part Time,1481
TG-100372,Applicant 372,128534.0,775,Jersey City,ny, full time ,1856
TG-100373,Applicant 373,113778.0,750,Hoboken,N.J.,Part Time,3410
TG-100374,Applicant 374,149595.0,656,Hoboken,NY,Self-Employed,4445
TG-100375,Applicant 375,61980.0,631,New York,,Self-Employed,2100
TG-100376,Applicant 376,111170.0,665,Brooklyn,N.J.,Unemployed,1343
TG-100377,Applicant 377,90500.0,552, Newark,NJ, full time ,4569
TG-100378,Applicant 378,150694.0,779,New York,ny,Part Time,5133
TG-100379,Applicant 379,60751.0,606,Brooklyn,, full time ,3687
TG-100380,Applicant 380,59808.0,784,Hoboken,,Part Time,3735
TG-100381,Applicant 381,67018.0,549,Brooklyn,ny,Unemployed,2613
